id,Name,Date (UTC),Description,Url,Tax Code,type (metadata),data (metadata),country (metadata),continent (metadata),validity (metadata)
prod_SQXTkGqeNQCb3E,Liechtenstein,2025-06-02 21:59,eSIM data plans for Liechtenstein,,,eSIM,,Liechtenstein,Other,
prod_SQXTxqHBKnFyav,Liberia,2025-06-02 21:59,eSIM data plans for Liberia,,,eSIM,,Liberia,Other,
prod_SQXTm4Z81QZ0j9,Latvia,2025-06-02 21:59,eSIM data plans for Latvia,,,eSIM,,Latvia,Other,
prod_SQXTlMDz11IcFG,Laos,2025-06-02 21:59,eSIM data plans for Laos,,,eSIM,,Laos,Other,
prod_SQXSfU8HVNQQkW,Kyrgyzstan,2025-06-02 21:59,eSIM data plans for Kyrgyzstan,,,eSIM,,Kyrgyzstan,Other,
prod_SQXSu8TI89LaCt,Kuwait,2025-06-02 21:59,eSIM data plans for Kuwait,,,eSIM,,Kuwait,Other,
prod_SQXSq6Y4wOIjr8,Kosovo,2025-06-02 21:58,eSIM data plans for Kosovo,,,eSIM,,Kosovo,Other,
prod_SQXSAU1b7RdCKf,Kiribati,2025-06-02 21:58,eSIM data plans for Kiribati,,,eSIM,,Kiribati,Other,
prod_SQXSQUdFrWyE1d,Kenya,2025-06-02 21:58,eSIM data plans for Kenya,,,eSIM,,Kenya,Other,
prod_SQXSWxmsvSYv4V,Jordan,2025-06-02 21:58,eSIM data plans for Jordan,,,eSIM,,Jordan,Other,
prod_SQXSaSEpujkKqW,Jersey,2025-06-02 21:58,eSIM data plans for Jersey,,,eSIM,,Jersey,Other,
prod_SQXRIRjdHufN17,Japan,2025-06-02 21:58,eSIM data plans for Japan,,,eSIM,,Japan,Other,
prod_SQXRAOCWqrAyQ2,Jamaica,2025-06-02 21:58,eSIM data plans for Jamaica,,,eSIM,,Jamaica,Other,
prod_SQXRCIhY5ggvHk,Ivory Coast,2025-06-02 21:57,eSIM data plans for Ivory Coast,,,eSIM,,Ivory Coast,Other,
prod_SQXR52y5bFmhMi,Italy,2025-06-02 21:57,eSIM data plans for Italy,,,eSIM,,Italy,Other,
prod_SQXRmANPlLwH8b,Israel,2025-06-02 21:57,eSIM data plans for Israel,,,eSIM,,Israel,Other,
prod_SQXRe8IxM3sMmk,Isle of Man,2025-06-02 21:57,eSIM data plans for Isle of Man,,,eSIM,,Isle of Man,Other,
prod_SQXQcr5eSFIpJM,Ireland,2025-06-02 21:57,eSIM data plans for Ireland,,,eSIM,,Ireland,Other,
prod_SQXQAcjVUeM9Xh,Iraq,2025-06-02 21:57,eSIM data plans for Iraq,,,eSIM,,Iraq,Other,
prod_SQXQZEx0Ys2IeV,Indonesia,2025-06-02 21:56,eSIM data plans for Indonesia,,,eSIM,,Indonesia,Other,
prod_SQXQmsX3AsqoSX,India,2025-06-02 21:56,eSIM data plans for India,,,eSIM,,India,Other,
prod_SQXQI9u0qleluD,Iceland,2025-06-02 21:56,eSIM data plans for Iceland,,,eSIM,,Iceland,Other,
prod_SQXP0k6oWRclwB,Hungary,2025-06-02 21:56,eSIM data plans for Hungary,,,eSIM,,Hungary,Other,
prod_SQXPQp83Yau2W8,Hong Kong,2025-06-02 21:56,eSIM data plans for Hong Kong,,,eSIM,,Hong Kong,Other,
prod_SQXPO4EXrEp4Lb,Honduras,2025-06-02 21:56,eSIM data plans for Honduras,,,eSIM,,Honduras,Other,
prod_SQXPGWpBMUPH7l,Haiti,2025-06-02 21:55,eSIM data plans for Haiti,,,eSIM,,Haiti,Other,
prod_SQXPFYeum09MjN,Guyana,2025-06-02 21:55,eSIM data plans for Guyana,,,eSIM,,Guyana,Other,
prod_SQXPBZwrdq4PBU,Guinea-Bissau,2025-06-02 21:55,eSIM data plans for Guinea-Bissau,,,eSIM,,Guinea-Bissau,Other,
prod_SQXPQO6CW7XjB6,Guinea,2025-06-02 21:55,eSIM data plans for Guinea,,,eSIM,,Guinea,Other,
prod_SQXPBz3Adobvta,Guernsey,2025-06-02 21:55,eSIM data plans for Guernsey,,,eSIM,,Guernsey,Other,
prod_SQXOLbbqAu9lqP,Guatemala,2025-06-02 21:55,eSIM data plans for Guatemala,,,eSIM,,Guatemala,Other,
prod_SQXOYVJnlxxLOf,Guam,2025-06-02 21:55,eSIM data plans for Guam,,,eSIM,,Guam,Other,
prod_SQXOjJcqSLpQQs,Guadeloupe,2025-06-02 21:55,eSIM data plans for Guadeloupe,,,eSIM,,Guadeloupe,Other,
prod_SQXOxTQeEinraF,Grenada,2025-06-02 21:54,eSIM data plans for Grenada,,,eSIM,,Grenada,Other,
prod_SQXOn2W4ScVcFj,Greenland,2025-06-02 21:54,eSIM data plans for Greenland,,,eSIM,,Greenland,Other,
prod_SQXO8C0CyYUBvJ,Greece,2025-06-02 21:54,eSIM data plans for Greece,,,eSIM,,Greece,Other,
prod_SQXOxfkxV6XMj4,Gibraltar,2025-06-02 21:54,eSIM data plans for Gibraltar,,,eSIM,,Gibraltar,Other,
prod_SQXOjv6VH6fQHh,Ghana,2025-06-02 21:54,eSIM data plans for Ghana,,,eSIM,,Ghana,Other,
prod_SQXNSRcawlzlHm,Germany,2025-06-02 21:54,eSIM data plans for Germany,,,eSIM,,Germany,Other,
prod_SQXNEo8BmFjSHF,Georgia,2025-06-02 21:53,eSIM data plans for Georgia,,,eSIM,,Georgia,Other,
prod_SQXNsmhYWri8MZ,Gambia,2025-06-02 21:53,eSIM data plans for Gambia,,,eSIM,,Gambia,Other,
prod_SQXNc9sYgII9mZ,Gabon,2025-06-02 21:53,eSIM data plans for Gabon,,,eSIM,,Gabon,Other,
prod_SQXNZOGSJ5GfRj,French Polynesia,2025-06-02 21:53,eSIM data plans for French Polynesia,,,eSIM,,French Polynesia,Other,
prod_SQXN7Y3USbUHJM,French Guiana,2025-06-02 21:53,eSIM data plans for French Guiana,,,eSIM,,French Guiana,Other,
prod_SQXNsVMdzfDWFU,France,2025-06-02 21:53,eSIM data plans for France,,,eSIM,,France,Other,
prod_SQXM9h6dan7TTn,Finland,2025-06-02 21:53,eSIM data plans for Finland,,,eSIM,,Finland,Other,
prod_SQXM8lUcYHtSb0,Fiji,2025-06-02 21:53,eSIM data plans for Fiji,,,eSIM,,Fiji,Other,
prod_SQXMAuA48IWvEE,Faroe Islands,2025-06-02 21:52,eSIM data plans for Faroe Islands,,,eSIM,,Faroe Islands,Other,
prod_SQXM3AqRrQukeO,Falkland Islands,2025-06-02 21:52,eSIM data plans for Falkland Islands,,,eSIM,,Falkland Islands,Other,
prod_SQXMKVJjeKJ9pR,Ethiopia,2025-06-02 21:52,eSIM data plans for Ethiopia,,,eSIM,,Ethiopia,Other,
prod_SQXM7FpjZDOsIg,Estonia,2025-06-02 21:52,eSIM data plans for Estonia,,,eSIM,,Estonia,Other,
prod_SQXMgtqnmVRI32,El Salvador,2025-06-02 21:52,eSIM data plans for El Salvador,,,eSIM,,El Salvador,Other,
prod_SQXMLWldSLEoOC,Egypt,2025-06-02 21:52,eSIM data plans for Egypt,,,eSIM,,Egypt,Other,
prod_SQXLFD155e4b6m,Ecuador,2025-06-02 21:52,eSIM data plans for Ecuador,,,eSIM,,Ecuador,Other,
prod_SQXLNrIRcBL0Bw,Dominican Republic,2025-06-02 21:52,eSIM data plans for Dominican Republic,,,eSIM,,Dominican Republic,Other,
prod_SQXLDyMVxTncSK,Dominica,2025-06-02 21:51,eSIM data plans for Dominica,,,eSIM,,Dominica,Other,
prod_SQXLs4sTzYL5Np,Denmark,2025-06-02 21:51,eSIM data plans for Denmark,,,eSIM,,Denmark,Other,
prod_SQXLwYLhO6n1AA,Democratic Republic of the Congo,2025-06-02 21:51,eSIM data plans for Democratic Republic of the Congo,,,eSIM,,Democratic Republic of the Congo,Other,
prod_SQXLcfmAHnyApS,Czech Republic,2025-06-02 21:51,eSIM data plans for Czech Republic,,,eSIM,,Czech Republic,Other,
prod_SQXK529BW3lIca,Cyprus,2025-06-02 21:51,eSIM data plans for Cyprus,,,eSIM,,Cyprus,Other,
prod_SQXKOGa70G9aBX,Curacao,2025-06-02 21:51,eSIM data plans for Curacao,,,eSIM,,Curacao,Other,
prod_SQXKM09LiwH2rp,Croatia,2025-06-02 21:51,eSIM data plans for Croatia,,,eSIM,,Croatia,Other,
prod_SQXKxltfFYA731,Costa Rica,2025-06-02 21:50,eSIM data plans for Costa Rica,,,eSIM,,Costa Rica,Other,
prod_SQXKnEMiJXxJTp,Colombia,2025-06-02 21:50,eSIM data plans for Colombia,,,eSIM,,Colombia,Other,
prod_SQXKDrVMfWcW7k,China,2025-06-02 21:50,eSIM data plans for China,,,eSIM,,China,Other,
prod_SQXKUiYHhxLcTR,Chile,2025-06-02 21:50,eSIM data plans for Chile,,,eSIM,,Chile,Other,
prod_SQXJzTYbM80IVn,Chad,2025-06-02 21:50,eSIM data plans for Chad,,,eSIM,,Chad,Other,
prod_SQXJ6yEF6KS3iY,Cayman Islands,2025-06-02 21:50,eSIM data plans for Cayman Islands,,,eSIM,,Cayman Islands,Other,
prod_SQXJap9vwcboHu,Cape Verde,2025-06-02 21:50,eSIM data plans for Cape Verde,,,eSIM,,Cape Verde,Other,
prod_SQXJQ6rZq5Bo14,Canada,2025-06-02 21:49,eSIM data plans for Canada,,,eSIM,,Canada,Other,
prod_SQXJ75iN4MfQ7O,Cameroon,2025-06-02 21:49,eSIM data plans for Cameroon,,,eSIM,,Cameroon,Other,
prod_SQXJJARyXPVZKa,Cambodia,2025-06-02 21:49,eSIM data plans for Cambodia,,,eSIM,,Cambodia,Other,
prod_SQXJzNEuN4KgLj,Burundi,2025-06-02 21:49,eSIM data plans for Burundi,,,eSIM,,Burundi,Other,
prod_SQXJjygdUhCJZl,Burkina Faso,2025-06-02 21:49,eSIM data plans for Burkina Faso,,,eSIM,,Burkina Faso,Other,
prod_SQXJcwFDKehHEg,Bulgaria,2025-06-02 21:49,eSIM data plans for Bulgaria,,,eSIM,,Bulgaria,Other,
prod_SQXJXMZFZmypGK,Brunei,2025-06-02 21:49,eSIM data plans for Brunei,,,eSIM,,Brunei,Other,
prod_SQXIFFTDCHD07Q,British Virgin Islands,2025-06-02 21:49,eSIM data plans for British Virgin Islands,,,eSIM,,British Virgin Islands,Other,
prod_SQXIeKleVWpoDb,Brazil,2025-06-02 21:49,eSIM data plans for Brazil,,,eSIM,,Brazil,Other,
prod_SQXIBtH8rivCPt,Botswana,2025-06-02 21:49,eSIM data plans for Botswana,,,eSIM,,Botswana,Other,
prod_SQXI1YA35It4A0,Bosnia,2025-06-02 21:48,eSIM data plans for Bosnia,,,eSIM,,Bosnia,Other,
prod_SQXIAvMHfYl9UE,Bonaire,2025-06-02 21:48,eSIM data plans for Bonaire,,,eSIM,,Bonaire,Other,
prod_SQXIYCPDhmwpVU,Bolivia,2025-06-02 21:48,eSIM data plans for Bolivia,,,eSIM,,Bolivia,Other,
prod_SQXI4GxR7yn9RI,Bhutan,2025-06-02 21:48,eSIM data plans for Bhutan,,,eSIM,,Bhutan,Other,
